food_id,name,name_nepali,category,calories,protein,carbohydrates,fat,fiber,sugar,sodium,serving_size_g,is_vegetarian,is_vegan,is_gluten_free,contains_nuts,contains_dairy,contains_gluten,contains_egg,is_nepali,data_source
27,Coconut Macaroons,Coconut Macaroons,french_dish,270.1,3.0,37.1,12.7,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
28,Chocolate Lava Cake,Chocolate Lava Cake,international_dish,367.2,5.6,56.2,13.1,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
29,Cinnamon Rolls,Cinnamon Rolls,american_dish,359.3,5.2,51.2,14.4,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
30,Pecan Pie,Pecan Pie,american_dish,378.0,4.2,46.4,18.8,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
31,Red Velvet Cake,Red Velvet Cake,american_dish,404.3,6.0,56.0,16.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
32,Angel Food Cake,Angel Food Cake,american_dish,370.9,6.3,61.0,11.0,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
33,Fruit Tart,Fruit Tart,international_dish,243.5,3.5,33.1,11.1,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
34,Bread Pudding,Bread Pudding,international_dish,340.0,3.8,44.7,16.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
35,Panna Cotta,Panna Cotta,italian_dish,332.6,3.8,37.8,18.6,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
36,Maple Pecan Pie,Maple Pecan Pie,american_dish,409.3,6.0,57.7,16.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
37,Opera Cake,Opera Cake,french_dish,379.9,4.9,40.0,20.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
38,Lemon Bars,Lemon Bars,american_dish,339.2,5.2,54.8,10.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
39,Pumpkin Roll,Pumpkin Roll,american_dish,389.2,6.4,56.2,15.1,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
40,Creme Brulee,Creme Brulee,french_dish,306.1,4.3,33.1,17.5,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
41,Pineapple Upside-Down Cake,Pineapple Upside-Down Cake,american_dish,366.2,4.6,53.0,14.7,0,0,0,147,True,True,True,False,False,False,False,True,Calculated_from_USDA
42,Cannoli Pastry,Cannoli Pastry,italian_dish,250.8,4.3,29.5,12.8,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
43,Raspberry Mousse,Raspberry Mousse,international_dish,244.9,3.0,32.1,11.6,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
44,Carrot Cake,Carrot Cake,american_dish,383.2,5.6,51.6,16.3,0,0,0,147,True,True,True,False,False,False,False,True,Calculated_from_USDA
